"name"#"mpg"#"cyl"#"disp"#"hp"#"drat"#"wt"#"qsec"#"vs"#"am"#"gear"#"carb"
"Mazda RX4 Wag"#21#6#160#110#3.9#2.875#17.02#0#1#4#4
"Hornet 4 Drive"#21.4#6#258#110#3.08#3.215#19.44#1#0#3#1
"Valiant"#18.1#6#225#105#2.76#3.46#20.22#1#0#3#1
"Merc 240D"#24.4#4#146.7#62#3.69#3.19#20#1#0#4#2
"Merc 280"#19.2#6#167.6#123#3.92#3.44#18.3#1#0#4#4
"Merc 450SE"#16.4#8#275.8#180#3.07#4.07#17.4#0#0#3#3
"Merc 450SLC"#15.2#8#275.8#180#3.07#3.78#18#0#0#3#3
"Lincoln Continental"#10.4#8#460#215#3#5.424#17.82#0#0#3#4
"Fiat 128"#32.4#4#78.7#66#4.08#2.2#19.47#1#1#4#1
"Toyota Corolla"#33.9#4#71.1#65#4.22#1.835#19.9#1#1#4#1
"Dodge Challenger"#15.5#8#318#150#2.76#3.52#16.87#0#0#3#2
"Camaro Z28"#13.3#8#350#245#3.73#3.84#15.41#0#0#3#4
"Fiat X1-9"#27.3#4#79#66#4.08#1.935#18.9#1#1#4#1
"Lotus Europa"#30.4#4#95.1#113#3.77#1.513#16.9#1#1#5#2
"Ferrari Dino"#19.7#6#145#175#3.62#2.77#15.5#0#1#5#6
"Volvo 142E"#21.4#4#121#109#4.11#2.78#18.6#1#1#4#2
